village,gender_hh,avg_min,median_min,n,avg_hh_mm
Borda,Female,15,15,12,0h 15m
Borda,Male,15,15,11,0h 15m
Kabong'o,Female,15,15,42,0h 15m
Kabong'o,Male,15,15,42,0h 15m
Kagola West,Female,15,15,31,0h 15m
Kagola West,Male,15,15,31,0h 15m
Kaswa,Female,15,15,13,0h 15m
Kaswa,Male,15,15,13,0h 15m
Kogola East,Female,15,15,15,0h 15m
Kogola East,Male,15,15,16,0h 15m
Kokech,Female,48.3,15,27,0h 48m
Kokech,Male,42.8,15,27,0h 43m
