village,gender_hh,primary_water_source,distance_in_meters
Kagola West,Male ,Protected public wells ,277.16
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,753.84
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,144.75
Kokech,Male ,HFHK Solar Borehole/Kiosk ,271.79
Kagola West,Male ,Rainwater Harvesting ,514.6
Kaswa,Male ,HFHK Solar Borehole/Kiosk ,100.97
Kagola West,Male ,Protected public wells ,335.57
Kagola West,Female,Protected public wells ,436.5
Kaswa,Male ,HFHK Solar Borehole/Kiosk ,249.32
Kokech,Female,Open wells in homesteads,581.24
Kagola West,Female,Protected public wells ,503.46
Kagola West,Female,Protected public wells ,476.46
Kokech,Female,Open wells in homesteads,777.38
Kokech,Male ,Open wells in homesteads,359.57
Borda,Male ,Piped HFHK Water,17.21
Kogola East,Female,Protected public wells ,462.44
Borda,Female,HFHK Solar Borehole/Kiosk ,157.15
Kogola East,Male ,Protected public wells ,678.54
Kabong'o,Female,Open wells in homesteads,338.47
Kokech,Female,Open wells in homesteads,351.19
Kogola East,Female,Open wells in homesteads,594.5
Kagola West,Male ,Protected public wells ,635.79
Borda,Female,HFHK Solar Borehole/Kiosk ,58.08
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,104.56
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,948.7
Kogola East,Male ,Open wells in homesteads,513.47
Kagola West,Male ,Open wells in homesteads,323.65
Borda,Male ,HFHK Solar Borehole/Kiosk ,121.79
Kogola East,Male ,Open wells in homesteads,431.78
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,81.54
Kokech,Male ,HFHK Solar Borehole/Kiosk ,694.95
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,392.56
Kogola East,Female,HFHK Solar Borehole/Kiosk ,483.8
Kagola West,Male ,Open wells in homesteads,409.71
Kabong'o,Male ,Open wells in homesteads,354.38
Kokech,Female,Open wells in homesteads,513.73
Borda,Female,HFHK Solar Borehole/Kiosk ,106.6
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,244.86
Kokech,Female,HFHK Solar Borehole/Kiosk ,570.62
Kogola East,Male ,Protected public wells ,291.41
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,516.83
Kokech,Female,HFHK Solar Borehole/Kiosk ,401.76
Kabong'o,Male ,Open wells in homesteads,570.48
Kagola West,Female,Open wells in homesteads,498.28
Borda,Female,HFHK Solar Borehole/Kiosk ,80.71
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,469.81
Kagola West,Female,Protected public wells ,429.31
Kaswa,Female,Open wells in homesteads,419.71
Kabong'o,Female,Open wells in homesteads,1733.81
Kabong'o,Female,Open wells in homesteads,1416.57
Kabong'o,Female,Protected public wells ,1342.89
Kabong'o,Male ,Open wells in homesteads,1530.52
Kabong'o,Male ,Open wells in homesteads,1471.07
Kaswa,Male ,Open wells in homesteads,470.33
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,397.58
Kagola West,Male ,Protected public wells ,470.88
Kabong'o,Female,Open wells in homesteads,361.34
Kokech,Female,Open wells in homesteads,730.73
Kokech,Female,HFHK Solar Borehole/Kiosk ,438.97
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,532.01
Kagola West,Female,Open wells in homesteads,457.22
Kokech,Female,Protected public wells ,440.23
Kabong'o,Male ,Protected public wells ,325.22
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,611.97
Kagola West,Female,Open wells in homesteads,530.13
Kaswa,Female,Open wells in homesteads,742.3
Kokech,Male ,HFHK Solar Borehole/Kiosk ,104.02
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,222.24
Kagola West,Female,"Others, specify ",242.08
Kaswa,Male ,Protected public wells ,716.32
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,268.32
Kaswa,Female,Protected public wells ,653.75
Kagola West,Male ,Piped HFHK Water,656.59
Kagola West,Female,HFHK Solar Borehole/Kiosk ,304.85
Kaswa,Female,Open wells in homesteads,413.9
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,338.73
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,345.13
Kokech,Male ,Open wells in homesteads,759.33
Kokech,Female,Open wells in homesteads,367.91
Borda,Female,Open wells in homesteads,726.29
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,1165.2
Kokech,Male ,Open wells in homesteads,310.25
Kabong'o,Female,Open wells in homesteads,439.75
Kagola West,Female,Open wells in homesteads,527.04
Kogola East,Male ,Protected public wells ,879.16
Kogola East,Male ,Open wells in homesteads,873.74
Kabong'o,Female,Open wells in homesteads,613.1
Kabong'o,Male ,Open wells in homesteads,633.66
Kabong'o,Male ,Piped HFHK Water,69.55
Kagola West,Male ,Open wells in homesteads,363.69
Kokech,Female,Open wells in homesteads,616.43
