village,gender,primary_water_source,distance_in_meters
Borda,Male,HFHK Solar Borehole/Kiosk,456.23
Kabong'o,Female,HFHK Solar Borehole/Kiosk,204.9
Borda,Male,HFHK Solar Borehole/Kiosk,346.9
Kagola West,Male,HFHK Solar Borehole/Kiosk,245.19
Kabong'o,Female,HFHK Solar Borehole/Kiosk,291.19
Kokech,Female,HFHK Solar Borehole/Kiosk,640.51
Kabong'o,Male,HFHK Solar Borehole/Kiosk,1014.07
Borda,Male,HFHK Solar Borehole/Kiosk,285.54
Kabong'o,Female,HFHK Solar Borehole/Kiosk,392.27
Kokech,Male,HFHK Solar Borehole/Kiosk,214.53
Borda,Male,Piped HFHK Water,302.77
Kabong'o,Female,HFHK Solar Borehole/Kiosk,911.19
Kabong'o,Female,HFHK Solar Borehole/Kiosk,320.97
Borda,Male,HFHK Solar Borehole/Kiosk,324.18
Kabong'o,Female,HFHK Solar Borehole/Kiosk,988.33
Kagola West,Female,HFHK Solar Borehole/Kiosk,167.78
Kaswa,Male,HFHK Solar Borehole/Kiosk,49.71
Kagola West,Female,HFHK Solar Borehole/Kiosk,112.68
Kagola West,Female,HFHK Solar Borehole/Kiosk,410.64
Kagola West,Male,HFHK Solar Borehole/Kiosk,85.38
Kaswa,Female,HFHK Solar Borehole/Kiosk,81.09
Kagola West,Male,HFHK Solar Borehole/Kiosk,442.19
Kaswa,Male,HFHK Solar Borehole/Kiosk,445.88
Kagola West,Male,Piped HFHK Water,644.08
Kagola West,Male,HFHK Solar Borehole/Kiosk,257.46
Kagola West,Female,HFHK Solar Borehole/Kiosk,300.88
Kagola West,Male,HFHK Solar Borehole/Kiosk,202.51
Kogola East,Male,HFHK Solar Borehole/Kiosk,311.92
